genus,latitude,longitude
Porites,9.331,-82.249
Acropora,-19.1,-146.5
Acropora,-19.5,-146.5
Mussismilia,-20.514,-38.071
Mussismilia,-20.514,-38.071
Mussismilia,-20.53,-29.33
Mussismilia,-20.53,-29.33
Mussismilia,-20.53,-29.33
Mussismilia,-20.57671667,-34.80645
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Madracis,0.933333333333333,-29.3666666666667
Mussismilia,-20.53,-29.33
Mussismilia,-20.53,-29.33
Mussismilia,-20.53,-29.33
Madracis,-23.8436111111111,-45.1669444444444
Mussismilia,-23.8436111111111,-45.1669444444444
Pocillopora,44.566315,-123.282667
Pocillopora,44.566315,-123.282667
Pocillopora,44.566315,-123.282667
Acropora,-22.16,55.53
Pocillopora,-22.16,55.53
Orbicella,16.797,-88.0844
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Platygyra,22.187,114.13499999999999
Montipora,-18.55,146.49
Montipora,-18.55,146.50
Acropora,22.2517,38.95640000000003
Acropora,22.2517,38.95640000000003
Pocillopora,22.2517,38.95640000000003
Pocillopora,22.2517,38.95640000000003
Siderastrea,20.9267,-86.8313
Cyphastrea,-31.5500,159.0833
Diploria,20.8777,-86.8430
Cyphastrea,-31.5500,159.0833
Montastrea,24.563056,-81.400833
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
Siderastrea,24.99430,-80.40650
